,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,StarLight,Fermilab_1,1500000000000.0,21004636963259.0,10,0.9897298894274488,1500000000000.0,29.89032818699474
1,StarLight,UChicago_PME,22204636963260.0,36437901452985.0,14,0.9655405187640884,1200000000000.0,234.87233040693602
2,StarLight,UChicago_HC,54991366452986.0,67592340930358.0,15,0.9507026217349613,18553465000000.0,132.60879172485207
3,UChicago_PME,Argonne_2,42789540000000.0,52917850935303.0,10,0.8183831884270194,42789540000000.0,25.275685317646843
4,UChicago_PME,UChicago_HC,66717850935304.0,81285052152210.0,12,0.8220735184618126,13800000000000.0,1457.5895317048269
5,UChicago_HC,Argonne_2,36962270000000.0,54832597137887.0,15,0.9164324072128736,36962270000000.0,31.392822060353904
6,Fermilab_1,Argonne_1,16618445000000.0,36009515534240.0,18,0.8161672047791205,16618445000000.0,88.44277044796054
7,Fermilab_1,Fermilab_2,37009515534241.0,56307262487321.0,14,0.8983450569224953,1000000000000.0,1973.4428113599963
8,Fermilab_1,UChicago_HC,73166407487322.0,92342831635648.0,14,0.9385104089421121,16859145000000.0,10.27303101330271
9,Fermilab_2,Argonne_1,2500500000000.0,13039807023816.0,14,0.8571602760176283,2500500000000.0,37.19409626403191
10,Fermilab_2,UChicago_HC,25368627023817.0,42443582697188.0,10,0.8097515421454337,12328820000000.0,10.073232592236835
11,Fermilab_2,Argonne_2,71483932697189.0,85685778044120.0,15,0.840650567222913,29040350000000.0,27.954113729719722
12,Argonne_1,UChicago_HC,13504070000000.0,24572870785690.0,17,0.8748993531175765,13504070000000.0,62.15668827371635
13,Argonne_1,Argonne_2,25772870785691.0,40169448360813.0,12,0.9173698946888929,1200000000000.0,381.0627888033667
14,Argonne_1,UChicago_PME,53969448360814.0,64887539597105.0,12,0.8908271403172254,13800000000000.0,77.85243607185268
15,Argonne_1,UChicago_PME,85791609597106.0,97788894959053.0,22,0.9085467858770582,20904070000000.0,144.0325830275632
16,Argonne_2,Argonne_3,2700500000000.0,15702162849112.0,14,0.8450414379981184,2700500000000.0,249.19889383389824
17,Argonne_2,Argonne_1,17602162849113.0,35814447032940.0,10,0.9594138857504093,1900000000000.0,250.49027095959656
18,Argonne_2,NU,66728947032941.0,78878987406499.0,10,0.850973917530825,30914500000000.0,20.65836756775299
19,Argonne_3,Fermilab_2,54934405000000.0,71312604386371.0,13,0.9577097871640058,54934405000000.0,6.166734060158434
20,Argonne_3,NU,80916604386372.0,97702112313229.0,10,0.8369720839268701,9604000000000.0,27.464167423995246
